pronunciation	standard
닥클 달구통에 넣어두지 안으만 밤에 산짐승이 내려와가 물고 가 삐림니더	닭을 닭장에 넣어두지 않으면 밤에 산짐승이 내려와가 물고 가 버립니다
비단을 우에 짜는지 그 과정을 한 번 좀 말씀해 주실랍니꺼	비단을 어떻게 짜는지 그 과정을 한 번 좀 말씀해 주시렵니까
자슥뜰 때미네 열심히 사란는디 인자 자식들이 이러쿠럼 날 챙겨주이꺼네 내가 고맙지요	자식들 때문에 열심히 살았는데 이제 자식들이 이렇게 날 챙겨주니까 내가 고맙지요
태풍 때미네 바람이 세게 부이꺼네 산태태가 날까 봐 잠을 한숨도 못 잤다 아임니까	태풍 때문에 바람이 세게 부니까 산사태가 날까 봐 잠을 한숨도 못 잤다 아닙니까
베를 짜다가 줄이 터져 삐만 끊어진 하 끊어진 데를 마카 이사가 다시 짜야 함니데이	베를 짜다가 줄이 터져 버리면 끊어진 하 끊어진 데를 모두 이어서 다시 짜야 합니다
동네에서 무신 사고라도 생기만 마을 사람들이 구째이 불러가 굿하고 그랟심더	동네에서 무슨 사고라도 생기면 마을 사람들이 무당 불러서 굿하고 그랬어요
감기약 무꼬 자부러울 때는 사고 날 수 있쓰니꺼네 겡운기 몰지 마이소이	감기약 먹고 졸릴 때는 사고 날 수 있으니까 경운기 몰지 마십시오
남자들은 농악도 하고 씨름도 하고 여자들은 강강수월래 하민서 노라찌로	남자들은 농악도 하고 씨름도 하고 여자들은 강강수월래 하면서 놀았지요
된장국 끼리고 호박밥 해가 양념장으로 비벼 무만 달짝한 게 맛이있다 아입니꺼	된장국 끓이고 호박밥 해서 양념장으로 비벼 먹으면 달콤한 게 맛이있다 아니에요
올해는 날씨가 조아가 농사도 잘 덷꼬 받띠기로 팔고 하이꺼네 기분 좋습니다	올해는 날씨가 좋아서 농사도 잘 됐고 밭떼기로 팔고 하니까 기분 좋습니다
요새는 시간이 조금만 지나도 다 이저삐고 물건도 자주 일가 뿌려서 큰일 나씸니더	요새는 시간이 조금만 지나도 다 잊어버리고 물건도 자주 잃어 버려서 큰일 났습니다
마을 모숨구는 날에는 사람들이 같이 이게저게 다니면서 푸마이를 함니더	마을 모심는 날에는 사람들이 같이 여기저기 다니면서 품앗이를 합니다
상냥하지만 지인하고 일꾼들이 음식도 농갈라 무꼬 술도 마시고 그랟심더	상냥하지만 지인하고 일꾼들이 음식도 나눠 먹고 술도 마시고 그랬어요
우리 어무이는 솜씨가 조아가 옷도 잘 맹글고 음식도 맏깔나구로 잘 하심더	우리 어머니는 솜씨가 좋아서 옷도 잘 만들고 음식도 맛깔나게 잘 합니다
윤디를 하루에 올려놓고 뜨겁고로 달거가 윤디 질을 하지요	인두를 화로에 올려놓고 뜨겁게 달궈서 인두 질을 하지요
지금 얼릉 밥상부텀 채릴 테니까네 배가 고프더라도 조금만 차므이소	지금 얼른 밥상부터 차릴 테니까 배가 고프더라도 조금만 참으세요
아 소는 트레기 까만 것도 있고 빨간 것도 인는디 그캐도 누런 기 제일 많지요	아 소는 털이 까만 것도 있고 빨간 것도 있는데 그래도 누런 게 제일 많지요
시아버님께서 늗께 까정 안 드러오마 훌빈해갇꼬 불 켜노코 밤새 기다리고 그랟따아임미꺼	시아버지께서 늦게 까지 안 들어오면 허전해서 불 켜놓고 밤새 기다리고 그랬어요
날이 칩꼬 손도 시렵지만 그캐도 우리 이리니꺼네 별로 피곤한 줄도 모르걷따	날이 춥고 손도 시렵지만 그래도 우리 일이니까 별로 피곤한 줄도 모르겠다
올해는 날씨도 좋았고 비도 적당하구로 와서 밭농사가 정말 잘 덴 펴니라	올해는 날씨도 좋았고 비도 적당하게 와서 밭농사가 정말 잘 된 편이야
자슥들 서울에서 직장 댕기는디 바빠가 연락은 잘 몬해도 잘 있지 안켇는교	자식들 서울에서 직장 다니는데 바빠서 연락은 잘 못해도 잘 있지 않겠습니까
알라가 놀이공원에 가자고 저렇게 잡치는디 바빠도 한 번은 가 봅시더이	애가 놀이공원에 가자고 저렇게 조르는데 바빠도 한 번은 가 봅시다
여유가 있는 사람들은 개아집 지을 때 보통 몇 칸짜리 집을 지어씀니껴	여유가 있는 사람들은 기와집 지을 때 보통 몇 칸짜리 집을 지었습니까
일이 힘들어도 돈 버리가 손주들 용돈이라도 줄 수 이쓰니께 좋지요	일이 힘들어도 돈 벌어서  손주들 용돈이라도 줄 수 있으니까 좋지요
이 구죽 신은지 오년이 지내니이꺼네 꾸비 다 다라가 인자는 내삐리야겓따	이 구두 신은지 오년이 지나니까 굽이 다 닳아서 이제는 버려야겠다
나물 무칠 때는 간을 강가무리하구로 맞춰야지 안 그러모 쓴맛이 나서 안 데	나물 무칠 때는 간을 간간하게 맞춰야지 안 그러면 쓴맛이 나서 안 돼
담장은 납따칸 돌삐를 가지고 쭉 아예 맹글기로 하는디 다 그렇지는 안씸니더	담장은 납작한 돌맹이를 가지고 쭉 아예 만들기로 하는데 다 그렇지는 않습니다
여개는 전에 살던 데보다 시설도 좋고 애들 핵교도 정말 가차바서 조아예	여기는 전에 살던 데보다 시설도 좋고 애들 학교도 정말 가까워서 좋아요
휴가 때만 되면 사람들이 여기 놀러 와가 씨레기를 내삐리까네 은선시럽따	휴가 때만 되면 사람들이 여기 놀러 와서 쓰레기를 버리니까 지긋지긋하다
오늘 비 올 것 가트니까네 우산 챙겨 가고 이저삐지 말고 단디 챙겨가 온나이	오늘 비 올 것 같으니까 우산 챙겨 가고 잊어버리지 말고 잘 챙겨서 와라
여게는 촌구석이라 빙워네 갈라꼬 해 하 하모 차를 타고 한참을 나가야 함니데이	여기는 촌구석이라 병원에 가려고 해 하 하면 차를 타고 한참을 나가야 합니다
가족끼리 해돋이 보면서 새 다짐도 하고 소원도 빌고 올라꼬 해요	가족끼리 해돋이 보면서 새 다짐도 하고 소원도 빌고 오려고 해요
어 삼신 할매한테 자슥들 공부 잘하고 가족들 건강하구로 잘 해달라고 빌었지요	어 삼신 할머니한테 자식들 공부 잘하고 가족들 건강하게 잘 해달라고 빌었지요
알라가 어제부텀 열이 안 떠러지는디 이라다 킬 나는 거 아인지 모르겠다	애가 어제부터 열이 안 떨어지는데 이러다 큰일 나는 거 아닌지 모르겠다
코피가 안 멈치고 이러구럼 계속 나만 병어네 가 봐야 하는 거 아잉교	코피가 안 멈추고 이래 계속 나만 병원에 가 봐야 하는 거 아니에요
요새는 에물도 마이 하지만 옛날에 우리 결혼할 때는 생각도 몬 해씸니더	요새는 예물도 많이 하지만 옛날에 우리 결혼할 때는 생각도 못  했습니다
게오레는 주우적삼 안에 소캐뭉치를 여코 꼬매가 이버씸더	겨울에는 바지저고리 안에 솜뭉치를 넣고 꿰매서 입었습니다
지금 안개도 짙고 파도가 노파가 배가 만괴 못 다닌다꼬 하대얘	지금 안개도 짙고 파도가 높아서 배가 전혀 못 다닌다고 하더라고요
이부치 좀 시끄러워도 사이가 불편해질까 봐 고마 참고 살았다 아임니꺼	이웃이  좀 시끄러워도 사이가 불편해질까 봐 그냥 참고 살았다 아니겠어요
지난주에 상초도 숨가 노았쓰니꺼네 사월 초쯤 되머 무글 수 있을 낌니더	지난주에 상추도 심어 놓았으니까 사월 초쯤 되면 먹을 수 있을 겁니다
여개는 시골이라 교통이 좀 불펜하디 공기도 캐캠하고 갱치가 참 좋아예	여기는 시골이라 교통이 좀 불편한데 공기도 깨끗하고 경치가 참 좋아요
시라기를 새이끼에 영따서 말려 놨다가 난중에 국 끓일 때 영가 묵으만 맛있어예	시래기를 새끼에 엮어서 말려 놨다가 나중에 국 끓일 때 넣어서 먹으면 맛있어요
돼지 잡을 때는 어른이 여럿 붙어야지 안 그러모 힘드러가 몬 잡슴니더	돼지 잡을 때는 어른이 여럿 붙어야지 안 그러면  힘들어서 못 잡습니다
방에 가리떡하고 술을 차려 노아쓰니꺼네 편하게 드시면서 말씀 나누이소	방에 가래떡하고 술을 차려 놓았으니까 편하게 드시면서 말씀 나누세요
빨리 무그만 가식 하게 되니까네 배고파도 찬차히 드시는게 조심니더	빨리 먹으면  과식  하게 되니까 배고파도 천천히  드시는게 좋습니다
비가 마이 오만 축대부텀 살피고 위험하다 시프만 퍼뜩 집에서 나와야 합니더	비가 많이 오면 축대부터 살피고 위험하다 싶으면 얼른 집에서 나와야 합니다
운동을 안 하만 좋은 약을 마이 무거도 아무 소용이 업슴니데이	운동을 안 하면 좋은 약을 많이 먹어도 아무 소용이 없습니다
두릅은 살째기 데쳐가 고 무쳐 묵끼도 하고 꼬치장에 찍어 묵끼도 해써예	두릅은 살짝 데쳐서 고 무쳐 먹기도 하고 고추장에 찍어 먹기도 했어요
어릴 때 학교는 몬 가고 풀 비러 가고 소 풀 먹이러 다니고 그랟씀니더	어릴 때 학교는 못 가고 풀 베러 가고 소 풀 먹이러 다니고 그랬습니다
여름철에는 모든 음식을 잘 이카 먹고 물도 꼭 끼린 것만 드셔야 한대예	여름철에는 모든 음식을 잘 익혀 먹고 물도 꼭 끓인 것만 드셔야 합니다
모기향을 피우만 화재 위험이 이쓰니꺼네 모구장을 쳐 놓고 주무시는 기 조아예	모기향을 피우면 화재 위험이 있으니까 모기장을 쳐 놓고 주무시는 게 좋아요
엘리베이터에 가두키면 우러그로 나올라꼬 하지 말고 비상벨을 누질러서 도움을 청하이소	엘리베이터에 같히면 억지로 나오려고 하지 말고 비상벨을 눌러서 도움을 청하세요
스님이 시주하러 오만 마이는 못 드려도 쌀을 쪼매쓱 담아드리고 그래씸니다	스님이 시주하러 오면 많이는 못 드려도 쌀을 조금씩 담아드리고 그랬습니다
일을 잘할 수 이쓰만 지가 맡아서 하든지 아이믄 당신이 노가리는 하지 마라야지로	일을 잘할 수 있으면 자기가 맡아서 하든지 아니면 당신이 잔소리는 하지 말아야지
베틀로 옷을 만드러가 입으셨다고 캔는디 옷 맹그는 과정을 알려주실람니껴	베틀로 옷을 만들어서  입으셨다고 했는데  옷 만드는  과정을 알려주시겠어요
우리 메누리는 농사 일은 잘 몬 해도 청소 하나는 정감시럽꾸로 잘 함니더	우리 며느리는 농사 일은 잘 못 해도 청소 하나는 정갈스럽게 잘 합니다
점심 때 돌잔치 가가 가가 어찌나 마이 무건는지 배불러서 저녁을 못 먹겠어요	점심 때 돌잔치 가서 가서 어찌나 많이 먹었는지 배불러서 저녁을 못 먹겠어요
처음에는 형한테 화가 마이 난는디 이야기를 듣다 보이꺼네 이해가 데더라고예	처음에는 형한테 화가 많이 났는데 이야기를 듣다 보니까 이해가 되더라고요
삼비는 하루 저녀기만 마이 짜는디 삼비 말이지 명주는 촘촘 해가 암만 짜도 마이 못 짜이	삼베는 하루 저녁이면 많이 짜는데 삼베 말이지 명주는 촘촘 해서 암만 짜도 많이 못 짜
가스렌지에 불 켜 놨는 걸 이저 삐리서 음식을 마카 태울 뻔해씀니더	가스렌지에 불 켜 놨는 걸 잊어 버려서 음식을 모두 태울 뻔했어요
오랫동안 한 동네에서 살았던 할마인데 도라가시니꺼네 매미 아프네예	오랫동안 한 동네에서 살았던 할머니가 돌아가셔서 마음이 아프네요
핼압야근 시간을 맏춰가 챙겨 드시야지 안 그라모 호까가 업씁니데이	혈압약은 시간을 맞춰서 챙겨 드시야지 안 그러면 효과가 없습니다
집에 돌아와 보이꺼네 문이 열려 있고 빼다지에 여꺼 둔 돈이 전부 업써젿씸니더	집에 돌아와 보니까 문이 열려 있고 서랍에 넣어 둔 돈이 전부 없어졌습니다
아들 오늘 중요한 시험 보이니꺼네 이 생엳타고 찹쌀떡 먹고 심내서 시험 잘 봐래이	아들 오늘 중요한 시험 보니까 이 갱엿하고 찹쌀떡 먹고 힘내서 시험 잘 봐라
옛날부터 조상 꿈이나 돼지꿈 꾸만 집에 돈 들어온다고 조아해찌로	옛날부터 조상 꿈이나 돼지꿈 꾸면 집에 돈 들어온다고 좋아했지요
게얼에 먹을 채소나 가일 같은 것은 오데 보관을 하심니껴	겨울에 먹을 채소나 과일 같은 것은 어디 보관을 했습니까
친정 동네하고 이 동네하고 아 이 동네하고 차리 지낼 때 상 차리는 건 뭐가 다릅니까	친정 동네하고 이 동네하고 아 이 동네하고 차례 지낼 때 상 차리는 건 뭐가 다릅니까
촌구석이라 젊은 사람은 함부레 없고 전부 노인들만 이쓰이께네 농사 짓기도 힘들어	촌구석이라 젊은 사람은 아예 없고 전부 노인들만 있으니까 농사 짓기도 힘들어
소도 사람 사람 매치로 잘 익히야 근육도 붓고 힘도 생겨서 잘 일을 잘 하지로	소도 사람 사람 처럼 잘 먹여야 근육도 붓고 힘도 생겨서 잘 일을 잘 합니다
옫가시믈 짜를 때는 미리 선을 끊어 놓아야 쪽바로 잘 자를 수 이써예	옷감을 자를 때는 미리 선을 끊어 놓아야 똑바로 잘 자를 수 있어요
올해는 배치 농사를 망우가 김장을 할라믄 배치를 좀 사와가 담궈야 되겠네	올해는 배추 농사를 망쳐서 김장을 하려면 배추를 좀 사와서 담궈야 되겠네
한포기 키우는 것도 이러코롬 힘든디 어무이는 우예 평생 농사를 짓고 살았을까	한포기 키우는 것도 이렇게 힘든데 어머니는 어떻게 평생 농사를 짓고 살았을까
비가 올 줄 모르고 세차를 하루 종일 열심히 캤는디 완전히 헛수고 햇다이	비가 올 줄 모르고 세차를 하루 종일 열심히 했는데 완전히 헛수고 했네
요새는 시월이 좋타만 우리 클 때는 하고 싶은 것도 몬하고 꼴물이 아팠어	요새는 세월이 좋다만 우리 클 때는 하고 싶은 것도 못하고 고생이 아팠어
전화를 하고 시펐는디 얘기하는 중간에 전화하러 나오기가 어려워가 집에 전화 못 했니더	전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어려워서 집에 전화 못 했습니다
어무이 지금 차 타고 자 나갈라꼬 하는디 혹시 읍내로 나가시만 태워 드릴께예	어머니 지금 차 타고 장에 나가려고 하는데 혹시 읍내로 나가시면 태워다 드릴게요
어깨가 뻐근한디 얼음 뜸질 좀 하고로 냉장고에 얼음 좀 꺼내 도래이	어깨가 뻐근한데 얼음 찜질 좀 하게 냉장고에 얼음 좀 꺼내 줘
마를 마당을 계속 관리해야지 안 그러 안 그라모 금새 잡초가 자라기 엉망이 데요	마를 마당을 계속 관리해야지 안 그러 안 그러면 금새 잡초가 자라기 엉망이 돼요
옛날에는 무글 것이 없으 업쓰니꺼네 겨울에 고드름도 많이 따고 무꼬 그래찌로	옛날에는 먹을 것이 없으 없으니까 겨울에 고드름도 많이 따고 먹고 그랬지요
지사를 안 모실 것 같으면 모리지만 지사를 모실 것 같 가트모 정성을 드려야 되니더	제사를 안 모실 것 같으면 모르지만 제사를 모실 것 같 같으면 정성을 드려야 됩니다
밭이 별로 크지도 않으이닝 아느이꺼네 꽈배추보다는 상추 거튼 걸 숨구는 기 좋겠 좋켔니더	밭이 별로 크지도 않으니까 않으니까 양배추보다는 상추 같은 걸 심는 게 좋겠 좋겠어요
옛날에는 혼자 김장을 했는디 요즘은 힘드러가 동네 사람들하고 같이 함니더	옛날에는 혼자 김장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다
다리도 아프고 날이 뜨거우니꺼니 저기 거렁지에서 잠시 시었다가 갑시더	다리도 아프고 날이 뜨거우니까 저기 그늘에서 잠시 쉬었다가 갑시다
도로깨가 꽤나 무거버가 허리 다칠 수 이쓰니께네 타작뜰 때 사 사살 뜨리기래이	도리깨가 꽤나 무거워서 허리 다칠 수 있으니까 타작할 때 사 살살 두드려
둥가지로 쓸 나무는 또 갈라가 저쪼 담장 밑에 쌓아두면 됨니더	장작으로 쓸 나무는 또 갈라서 저쪽 담장 밑에 쌓아두면 됩니다
여개까정 오시느라 욕봐 욕빧는데 시운한 냉수 는 좀 틈 한 한잔 드시소	여기까지 오시느라 욕봐 고생했는데 시원한 냉수 는 좀 틈 한 한잔 드십시오
찐니 이르믄 어떡 책상 밑으로 들어가 멈출 때까정 치 지달려야 합니데이	지진이 일어나면 얼른 책상 밑으로 들어가 멈출 때까정 치 기다려야 합니다
요새 날씨가 가물어서 농새도 못 짓고 계속 집에만 있으니 이쓰니께네 정말 답답네	요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 있으니 있으니까 정말 답답하네
오랜만에 가족끼리 가족끼리 외식 한번 하자고 하는데 그것도 못하면 우야 우야능교	오랜만에 가족끼리 가족끼리 외식 한번 하자고 하는데 그것도 못하면 우야 어떡해요
새 옷 이브니께네 사람이 달라 달라 비는디 전부틈 내가 옷 쫌 사 입으라고 안 하더니	새 옷 입으니까 사람이 달라 달라 보이는데 전부터 내가 옷 좀 사 입으라고 안 않았니
그 시집 왔을 때 생선국을 보고 이거 비렁내가 나가 우예 무글지 걱정했더니	그 시집 왔을 때 생선국을 보고 이거 비린내가 나서 어찌 먹을지 걱정했더니
밀감이 너무 새그러워서 못 먹겓는디 냉장고에 내린 과일 있으면 좀 내올래	밀감이 너무 셔서 못 먹겠는데 냉장고에 다른 과일 있으면 좀 내올래
오랜만에 조 조캐를 보이 보이꺼네 몬 알아볼 정도로 훌쩍 커 버리 삐리가 깜짝 놀랟떼이	오랜만에 조 조카를 보이 보니까 못 알아볼 정도로 훌쩍 커 버리 버려서 깜짝 놀랐어
수술비가 한두 푼이 아닌디 감재기 돈 돈 이바구니를 하면 어쩌라고	수술비가 한두 푼이 아닌데 갑자기 돈 돈 이야기를 하면 어쩌라고
수박은 큰 게 맞다고 맞다고 하는데 참외는 작은 게 맛있는 맛있는 건교	수박은 큰 게 맞다고 맞다고 하는데 참외는 작은 게 맛있는 맛있는 건가요
나이가 드이니 드니께 뒤 뒤 귀가 어두워지 어두워져가 사람들이 무슨 말을 해도 잘 못 알아 듣 듣것니더	나이가 드이니 드니까 뒤 뒤 귀가 어두워지 어두워져가 사람들이 무슨 말을 해도 잘 못 알아 듣 들어요
애넘드리 쌀을 다 빼끄러 가 삐리서 업쓰니께네 만날 꽁당보리밥바께 몬 무거찌로	왜놈들이 쌀을 다 뺏어 가 버려서 없으니까 매일 꽁보리밥밖에 못 먹었지
채독에 걸리면 얼굴이 노랗게 돼 가지고 사람이 기운이 하나도 없어 비니더	채독에 걸리면 얼굴이 노랗게 돼 가지고 사람이 기운이 하나도 없어 보입니다
대지머리 갖다 놓고 굿판 벌리만 동네 사람들이 쭉 와서 기겡도 하고 그랬습니다	돼지머리 갖다 놓고 굿판 벌리면 동네 사람들이 쭉 와서 구경도 하고 그랬습니다
너매 무시 구디가 어딘지 아는 사람들은 다른 집 무시를 빼가기도 해찌로	남의 무 구덩이가 어딘지 아는 사람들은 다른 집 무를 빼가기도 했지
배미에 물리만 병어네 가지도 된장 거튼 거 마음대로 바르면 큰일 남니더	뱀에 물리면 병원에 가야지 된장 같은 거 마음대로 바르면 큰일 납니다
평생을 농사만 지으니께네 허리가 굽어서 인자는 똑바로 걸을 수가 엄니더	평생을 농사만 지으니까 허리가 굽어서 이제는 똑바로 걸을 수가 없습니다
닭을 살 달구통에 넣어두면 넣어두지 않으면 밤에 산짐승이 내려와서 물고 가 삐림니더	닭을 살 닭장에 넣어두면 넣어두지 않으면 밤에 산짐승이 내려와서 물어 가 버립니다
비단을 우예 짜는지 그 과정을 한번 좀 말씀해 주실람니꺼	비단을 어떻게 짜는지 그 과정을 한번 좀 말씀해 주시렵니까
콘센트에 코드를 너무 많이 꼬브면 꼬브면 불이 날 수 이쓰니께네 정말 위험함니더	콘센트에 코드를 너무 많이 꽂으면 꽂으면 불이 날 수 있으니까 정말 위험합니다
태풍 때미네 바람이 세게 부이니께 산사태가 날까봐 잠을 한 숨도 못 잤니더	태풍 때문에 바람이 세게 부니까 산사태가 날까봐 잠을 한 숨도 못 잤습니다
베를  짜다가 줄이 터져 삐믄 끊어진 데를 마카 이사가 다시 짜야 함니데이	베를  짜다가 줄이 터져 버리면 끊어진 데를 모두 이어서 다시 짜야 합니다
동네에서 무신 사고라도 생기만 마을 사람들이 구째이 불러가 굿하고 그랟심더	동네에서 무슨 사고라도 생기면 마을 사람들이 무당 불러서 굿하고 그랬어요
감기약 먹고 자부럼 자부럼 올 때는 사고 날 수 이쓰니께네 경운기 몰지 마이소	감기약 먹고 졸음 졸음 올 때는 사고 날 수 있으니까 경운기 몰지 마세요
남자들은 농악도 하고 씨름도 하고 여자들은 강강수월래 하면서 노랐지로	남자들은 농악도 하고 씨름도 하고 여자들은 강강술래 하면서 놀았지요
된장국 끓이고 호박밥 해가 양념장으로 비베 비베 무만 달씩 달씩한 게 마시떼이	된장국 끓이고 호박밥 해서 양념장으로 비벼 비벼 먹으면 달콤 달콤한 게 맛있다
올해는 날씨가 좋아가 농사도 잘 됐고 말띠기로 팔고 하이꺼네 기분 좋니더	올해는 날씨가 좋아서 농사도 잘 됐고 말띠기로 팔고 하니까 기분 좋습니다
요새는 시간이 조금만 지나도 다 일거삐고 물건도 자주 일거뿌리서 큰일임니더	요새는 시간이 조금만 지나도 다 잊어버리고 물건도 자주 잃어버려서 큰일입니다
마을 모숩구는 날에는 사람들이 같이 이겨저겨 다니면서 품아이를 합니다	마을 모심는 날에는 사람들이 같이 이곳저곳 다니면서 품앗이를 합니다
살랑하맨 쥐인하고 일꾼들이 음식도 농갈라 무꼬 술도 마시고 그랜니더	상량하면 주인하고 일꾼들이 음식도 나눠 먹고 술도 마시고 그랬습니다
우리 어무이는 솜씨도 조아가 옷도 잘 맹글고 음식도 마깔나구로 했슴 하 했슴니더	우리 어머니는 솜씨도 좋아서 옷도 잘 만들고 음식도 맛깔나게 했슴 하 했습니다
지금 얼릉 밥상부터 채릴 테니꺼네 배가 고푸더라도 조금만 차므이소	지금 얼른 밥상부터 차릴 테니까 배가 고프더라도 조금만 참으세요
소는 터래기 까만 것도 많고 빨간 것도 인는디 그캐도 누른 기 제일 만지로	소는 털이 까만 것도 많고 빨간 것도 있는데 그래도 누런 게 제일 많다
시아바님께서 늦게 늦게까지 안주 안 들어오시면 홀비내가 볼 캐 놓고 밤새 기다리고 그랬데니더	시아버님께서 늦게 늦게까지 안주 안 들어오시면 허전해서 볼 켜 놓고 밤새 기다리고 그랬어요
날이 춥고 손도 시럽지만 그캐도 우리 일이 우리 일인께네 별로 피곤한 줄도 모리겓따	날이 춥고 손도 시럽지만 그래도 우리 일이 우리 일이니까 별로 피곤한 줄도 모르겠다
올해는 날씨도 좋았고 비도 적당하구로 와서 밭농사가 정말 잘 텐인이라	올해는 날씨도 좋았고 비도 적당하게 와서 밭농사가 정말 잘 편이야
자슥들 서울에서 직장 댕기는디 바빠가 연락은 잘 몬 잘 몬해도 잘 있지 안켔능교	자식들 서울에서 직장 다니는데 바빠서 연락은 잘 못 잘 못해도 잘 있지 않겠습니까
알라가 놀이공원에 가자고 저렇게 짭치는디 바빠도 한 번은 가 보시더	아이가 놀이공원에 가자고 저렇게 조르는데 바빠도 한 번은 가 봅시다
여유가 있는 사람들은 개와 집 지을 때 보통 몇 간 짜리 집을 지었습니까	여유가 있는 사람들은 기와 집 지을 때 보통 몇 칸 짜리 집을 지었습니까
일이 힘들어도 돈 버리가 손주들 용돈이라도 줄 수 이쓰니께 조치로	일이 힘들어도 돈 벌어서 손주들 용돈이라도 줄 수 있으니까 좋지
이 구두 신은 지 오 년이 지내이께네 굽이 다 따라가 인제는 내삐리야겠다	이 구두 신은 지 오 년이 지나니까 굽이 다 닳아서 이제는 버려야겠다
날이 더우만 소금을 쪼깨 여코 추우면 많이 넣고 그래야 마니 제대로 남미더	날이 더우면 소금을 조금 넣고 추우면 많이 넣고 그래야 맛이 제대로 납니다
나물 무칠 때는 간을 간간무리하그러 맞춰야지 안 그라면 쓴맛이 나서 안 돼	나물 무칠 때는 간을 간간하게 맞춰야지 안 그라면 쓴맛이 나서 안 돼
담장은 납딱한 돌빼이를 가지고 쭉 이 이아 탱글기도 하는디 다 그렇지는 안니더	담장은 납작한 돌멩이를 가지고 쭉 이 이어 만들기도 하는데 다 그렇지는 않습니다
여기는 전에 살던 데보다 시설도 좋고 애들 학교도 정말 가차비 가차바가 조아예	여기는 전에 살던 데보다 시설도 좋고 애들 학교도 정말 가까운 가까워서 좋아요
후가 때만 되면 사람들이 여개 놀러와가 쓰레기를 내삐리꺼네 언선시러 언선시럽따	휴가 때만 되면 사람들이 여기 놀러와서 쓰레기를 버리니까 언선시러 지긋지긋하다
오늘 비 올 것 가트이께네 우산 챙기가고 잊어삐지 말고 단디 챙기가 온나	오늘 비 올 것 같으니까 우산 챙겨가고 잊어버리지 말고 잘 챙겨서 와라
여개는 촌구석이라 빙언에 갈라꼬 하면 차를 타고 한참을 나가야 데니더	여기는 촌구석이라 병원에 갈려고 하면 차를 타고 한참을 나가야 됩니다
가족끼리 해맞이 보면서 새해 다짐도 하고 소원도 빌고 올라꼬 해요	가족끼리 해맞이 보면서 새해 다짐도 하고 소원도 빌고 오려고 해요
삼신 할매한테 자슥들 공부 잘하고 가족들 건강 하구로 해 달라고 빌었지	삼신 할머니한테 자식들 공부 잘하고 가족들 건강 하게 해 달라고 빌었지
알라가 어제부터 열이 안 떨어지는디 이러다 킬 나는 게 애인지 모르겠다	애가 어제부터 열이 안 떨어지는데 이러다 큰일 나는 게 아닌지 모르겠다
코피가 안멈치고 이리쿠롬 계속 나면 병원에 가야하는 거 아인교	코피가 안멈추고 이렇게 계속 나면 병원에 가야하는 거 아닌가요
요새는 예물도 마이 하지만 옛날에 우리 결혼할 때에는 생각도 모탠니더	요새는 예물도 많이 하지만 옛날에 우리 결혼할 때에는 생각도 못했어요
게오레는 주우적쌈 안에 소캐뭉치를 넣고 꼬매가 이번니더	겨울에는 바지저고리 안에 솜뭉치를 넣고 꿰메서 입었습니다
지금 안개도 짙고 파도가 노파가 배가 만괴 몬 댕긴다고 하대예	지금 안개도 짙고 파도가 높아서 배가 전혀 못 다닌다고 하더라고요
이웃이 좀 시꺼러워도 사이가 불편해질까 봐 고마 참고 살았니더	이웃이 좀 시끄러워도 사이가 불편해질까 봐 그냥 참고 살았습니다
지난주에 상추도 숨카 노아쓰니꺼네 사월 사월 초쯤 데마 무글 수 있을 낌니더	지난주에 상추도 심어 놓았으니 사월 사월 초쯤 되면 먹을 수 있을 꺼예요
여개는 시골이라 교통이 좀 불편한디 공기도 깨끔하고 겡치가 참 조아예	여기는 시골이라 교통이 좀 불편한데 공기도 깨끗하고 경치가 참 좋아요
시래기를 새끼끼에 엉 엉따가 엉따서 말려 놨다가 나중에 국 끼릴 때 열 여까 무그면 마시써예	시래기를 새끼에 엉 엮어서 엮어서 말려 놨다가 나중에 국 끓일 때 열 넣어서 먹으면 맛있어요
돼지 잡을 때는 어른이 여럭 붙어야지만 안 그러모 힘드러가 못 잡니더	돼지 잡을 때는 어른이 여럿 붙어야지만 안 그러면 힘들어서 못 잡습니다
방에 가래 가래떡하고 술을 차려 노아쓰니꺼네 편하게 드시면서 말씀 나누시오	방에 가래 가래떡하고 술을 차려 놓았으니까 편하게 드시면서 말씀 나누세요
빨리 무그만 과식하게 되니께 배가 고파도 찬차리 드시는 게 조씀니더	빨리 먹으면 과식하게 되니까 배가 고파도 천천히 드시는 게 좋아요
축 비가 마이 오만 축대부터 살피고 위험하다 시프만 퍼떡 집에서 나와야 함니더	축 비가 많이 오면 축대부터 살피고 위험하다 싶으면 얼른 집에서 나와야 합니다
운동을 안 하만 좋은 약을 마이 무가도 아무 소양이 없습니 업씀니대이	운동을 안 하면 좋은 약을 많이 먹어도 아무 소용이 없습니 없습니다
더러픈 살짜기 데쳐가 무쳐 먹기도 하고 꼬치장에 찍어 무끼도 해써예	두릅은 살짝 데쳐서 무쳐 먹기도 하고 고추장에 찍어 먹기도  했어요
어릴 때 학교는 못 가고 풀 베러 가고 소 풀 소 풀 미기러 다니고 그랜니더	어릴 때 학교는 못 가고 풀 베러 가고 소 풀 소 풀 먹이러 다니고 그랬어요
